disease,category,severity,specialist,description,causes,risk_factors,prevention,recovery_time,emergency_signs,contagious,self_care,diet,aliases
Basal Cell Carcinoma,Skin & Dermatology,Moderate,Dermatologist,Basal Cell Carcinoma is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","basal cell carcinoma, basal-cell-carcinoma"
Bell Palsy,Neurological,High,Neurologist,Bell Palsy is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","bell palsy, bell-palsy"
Benign Prostatic Hyperplasia,Urology & Nephrology,Moderate,Urologist / Nephrologist,Benign Prostatic Hyperplasia is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","benign prostatic hyperplasia, benign-prostatic-hyperplasia"
Bladder Infection,Urology & Nephrology,Moderate,Urologist / Nephrologist,Bladder Infection is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","bladder infection, bladder-infection"
Blepharitis,Ophthalmology,Moderate,Ophthalmologist,Blepharitis is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","blepharitis, blepharitis"
Bronchial Asthma,Respiratory,Moderate,Pulmonologist / Allergist,"A chronic inflammatory airway disease causing recurrent episodes of wheezing, breathlessness, chest tightness, and coughing.","Combination of genetic predisposition and environmental triggers including allergens, air pollution, exercise, cold air.","Family history of asthma/allergies, childhood respiratory infections, obesity, smoking exposure, occupational exposures.","Identify and avoid triggers, take controller medications regularly, use air purifiers, maintain healthy weight.",Chronic condition — episodes resolve in hours to days with treatment,"Severe breathlessness even at rest, inability to speak full sentences, blue lips, no relief from rescue inhaler, peak flow <50% of personal best.",No,Partial — rescue inhaler for mild episodes. Action plan from doctor. Severe attacks need emergency care.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","bronchial asthma, bronchial-asthma"
Bronchiectasis,Respiratory,High,Pulmonologist / Chest Specialist,Bronchiectasis is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","bronchiectasis, bronchiectasis"
COPD,Respiratory,High,Pulmonologist / Chest Specialist,COPD is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","copd, copd"
COVID-19,Respiratory,Moderate to High,Pulmonologist / Infectious Disease Specialist,"A respiratory illness caused by SARS-CoV-2 virus, ranging from mild cold-like symptoms to severe pneumonia. Can cause loss of smell/taste and long-term complications.","SARS-CoV-2 virus, transmitted through respiratory droplets and aerosols, with possible fomite transmission.","Age >60, obesity, diabetes, heart disease, lung disease, immunocompromised, unvaccinated status.","Vaccination, mask-wearing in high-risk settings, hand hygiene, adequate ventilation, social distancing during outbreaks.",Mild: 1-2 weeks. Severe: 3-6 weeks. Long COVID symptoms may persist months.,"Persistent chest pain, difficulty breathing at rest, confusion, bluish lips/face, inability to stay awake, oxygen saturation <94%.","Yes (airborne, 5-10 days typically)","Mild cases: yes — rest, fluids, fever management, pulse oximeter monitoring. Seek care if breathing worsens.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","covid-19, covid-19"
Carpal Tunnel Syndrome,Neurological,High,Neurologist,Carpal Tunnel Syndrome is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","carpal tunnel syndrome, carpal-tunnel-syndrome"
Celiac Disease,Gastroenterology,Moderate,Gastroenterologist,Celiac Disease is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","celiac disease, celiac-disease"
Cellulitis,Skin & Dermatology,Moderate,Dermatologist,Cellulitis is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","cellulitis, cellulitis"
Cervical spondylosis,Neurological,High,Neurologist,Cervical spondylosis is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","cervical spondylosis, cervical-spondylosis"
Chicken pox,Infectious Diseases,Low to Moderate,General Physician / Pediatrician,"A highly contagious viral infection caused by varicella-zoster virus, producing an itchy, blister-like rash all over the body with mild fever.","Varicella-zoster virus (VZV), spread through direct contact with rash or airborne droplets from coughing/sneezing.","No prior vaccination or infection, pregnancy, immunocompromised, age (more severe in adults), household exposure.","Varicella vaccine (2 doses), avoid contact with infected individuals, post-exposure prophylaxis for high-risk persons.",1-2 weeks for lesions to crust over. Full recovery 2-3 weeks. Adults may take longer.,"High fever >102°F for >4 days, difficulty breathing, stiff neck with headache, rash spreading to eyes, bleeding into blisters, bacterial superinfection.",Highly contagious (1-2 days before rash until all lesions crust over),"Yes for children — calamine lotion, oatmeal baths, antihistamines for itch. Avoid aspirin. Adults and immunocompromised may need antivirals.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","chicken pox, chicken-pox"
Chikungunya,Infectious Diseases,High,Infectious Disease Specialist,Chikungunya is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","chikungunya, chikungunya"
Cholera,Infectious Diseases,High,Infectious Disease Specialist,Cholera is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","cholera, cholera"
Chronic Fatigue Syndrome,General Medicine,Moderate,General Physician,Chronic Fatigue Syndrome is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","chronic fatigue syndrome, chronic-fatigue-syndrome"
Chronic Kidney Disease,Urology & Nephrology,Moderate,Urologist / Nephrologist,Chronic Kidney Disease is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","chronic kidney disease, chronic-kidney-disease"
Chronic Pain Syndrome,General Medicine,Moderate,General Physician,Chronic Pain Syndrome is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","chronic pain syndrome, chronic-pain-syndrome"
Chronic cholestasis,Gastroenterology,Moderate,Gastroenterologist,Chronic cholestasis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","chronic cholestasis, chronic-cholestasis"
Cluster Headache,Neurological,High,Neurologist,Cluster Headache is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","cluster headache, cluster-headache"
Common Cold,Respiratory,Low,General Physician,"A viral upper respiratory tract infection causing nasal congestion, sore throat, and mild fever. Usually self-limiting within 7-10 days.","Rhinoviruses (most common), coronaviruses, RSV, and other respiratory viruses spread through droplets and contact.","Weakened immunity, close contact with infected individuals, cold weather, poor hand hygiene, stress, lack of sleep.","Frequent hand washing, avoid touching face, maintain distance from sick individuals, adequate sleep, vitamin C intake.",7-10 days,"High fever >103°F, severe headache with stiff neck, difficulty breathing, persistent chest pain.","Yes (droplets, 1-2 weeks)","Yes — rest, hydration, OTC decongestants, warm fluids, steam inhalation.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","common cold, common-cold"
Concussion,Neurological,High,Neurologist,Concussion is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","concussion, concussion"
Congestive Heart Failure,Cardiovascular,High to Critical,Cardiologist,"A chronic condition where the heart cannot pump blood efficiently enough to meet the body's needs, causing fluid buildup in lungs and extremities.","Coronary artery disease, prior heart attack, hypertension, valve disease, cardiomyopathy, myocarditis.","Prior heart attack, coronary artery disease, hypertension, diabetes, obesity, valve disease, sleep apnea.","Control blood pressure and cholesterol, manage diabetes, maintain healthy weight, exercise regularly, avoid excessive alcohol.",Chronic condition — managed long-term with medication and lifestyle changes,"Sudden severe shortness of breath, rapid weight gain (>3 lbs/day), chest pain, fainting, coughing up pink frothy sputum.",No,"Partial — daily weight monitoring, fluid/salt restriction, medication adherence. Requires regular cardiology follow-up.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","congestive heart failure, congestive-heart-failure"
Conjunctivitis,Ophthalmology,Moderate,Ophthalmologist,Conjunctivitis is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","conjunctivitis, conjunctivitis"
